epoch	batch	iter	loss	prec1	prec5	lr
1	1	1	6.253725051879883	12.5	56.25	0.04
1	2	2	6.286487579345703	0.0	75.0	0.04
1	3	3	6.1343817710876465	18.75	81.25	0.04
1	4	4	6.27597713470459	12.5	68.75	0.04
1	5	5	6.087104797363281	25.0	75.0	0.04
1	6	6	6.1980743408203125	25.0	68.75	0.04
1	7	7	5.929561138153076	43.75	81.25	0.04
1	8	8	6.13129186630249	18.75	81.25	0.04
1	9	9	5.9502787590026855	37.5	81.25	0.04
1	10	10	6.046714782714844	31.25	68.75	0.04
1	11	11	5.871522426605225	31.25	87.5	0.04
1	12	12	5.9573516845703125	31.25	81.25	0.04
1	13	13	5.945127010345459	25.0	87.5	0.04
1	14	14	5.539896011352539	43.75	87.5	0.04
1	15	15	5.833707332611084	25.0	100.0	0.04
1	16	16	6.158755779266357	18.75	81.25	0.04
1	17	17	5.558304309844971	31.25	93.75	0.04
1	18	18	5.919613838195801	12.5	100.0	0.04
1	19	19	5.574719429016113	25.0	93.75	0.04
1	20	20	5.7484025955200195	31.25	87.5	0.04
1	21	21	5.83981990814209	31.25	87.5	0.04
1	22	22	5.543489933013916	37.5	100.0	0.04
1	23	23	5.7017292976379395	31.25	87.5	0.04
1	24	24	5.266173839569092	50.0	100.0	0.04
1	25	25	5.691806316375732	37.5	81.25	0.04
1	26	26	5.258155822753906	50.0	93.75	0.04
1	27	27	5.501377105712891	37.5	100.0	0.04
1	28	28	5.212403774261475	50.0	100.0	0.04
1	29	29	5.298789024353027	68.75	100.0	0.04
1	30	30	5.251565933227539	62.5	100.0	0.04
1	31	31	5.813765525817871	31.25	87.5	0.04
1	32	32	5.003235340118408	56.25	100.0	0.04
1	33	33	4.753838062286377	50.0	100.0	0.04
1	34	34	4.612211227416992	62.5	100.0	0.04
1	35	35	5.035055637359619	37.5	93.75	0.04
1	36	36	4.9721527099609375	50.0	81.25	0.04
1	37	37	5.585244655609131	43.75	87.5	0.04
1	38	38	4.959305763244629	62.5	87.5	0.04
1	39	39	5.142132759094238	56.25	87.5	0.04
1	40	40	4.923983097076416	56.25	87.5	0.04
1	41	41	4.525683403015137	62.5	100.0	0.04
1	42	42	4.729686737060547	43.75	100.0	0.04
1	43	43	5.059473514556885	37.5	100.0	0.04
1	44	44	5.019187927246094	50.0	93.75	0.04
1	45	45	5.512113571166992	31.25	100.0	0.04
1	46	46	4.436490058898926	75.0	100.0	0.04
1	47	47	4.642877578735352	50.0	93.75	0.04
1	48	48	4.754489898681641	68.75	93.75	0.04
1	49	49	4.233058452606201	87.5	100.0	0.04
1	50	50	4.417601108551025	68.75	100.0	0.04
1	51	51	5.557478427886963	25.0	81.25	0.04
1	52	52	4.507615566253662	62.5	93.75	0.04
1	53	53	5.591341018676758	43.75	100.0	0.04
1	54	54	4.90019416809082	56.25	93.75	0.04
1	55	55	4.2996039390563965	81.25	100.0	0.04
1	56	56	4.202365875244141	68.75	93.75	0.04
1	57	57	4.280696868896484	68.75	100.0	0.04
1	58	58	4.240614414215088	81.25	100.0	0.04
1	59	59	4.245482444763184	68.75	100.0	0.04
1	60	60	4.395626068115234	62.5	100.0	0.04
1	61	61	3.595877170562744	87.5	100.0	0.04
1	62	62	5.175820827484131	50.0	93.75	0.04
1	63	63	5.065128326416016	43.75	93.75	0.04
1	64	64	4.564587116241455	56.25	100.0	0.04
1	65	65	3.9208366870880127	75.0	100.0	0.04
1	66	66	3.79310941696167	68.75	100.0	0.04
1	67	67	4.915999889373779	50.0	100.0	0.04
1	68	68	5.17133903503418	37.5	93.75	0.04
1	69	69	4.234948635101318	56.25	100.0	0.04
1	70	70	4.907598495483398	31.25	100.0	0.04
1	71	71	4.3221211433410645	56.25	81.25	0.04
1	72	72	3.8657772541046143	68.75	100.0	0.04
1	73	73	4.550426959991455	56.25	100.0	0.04
1	74	74	3.9484446048736572	56.25	100.0	0.04
1	75	75	4.218475818634033	75.0	87.5	0.04
1	76	76	4.069775104522705	62.5	100.0	0.04
1	77	77	5.680573463439941	43.75	93.75	0.04
1	78	78	4.095872402191162	75.0	100.0	0.04
1	79	79	3.9541356563568115	75.0	100.0	0.04
1	80	80	4.275434970855713	43.75	100.0	0.04
1	81	81	3.9123823642730713	81.25	100.0	0.04
1	82	82	3.7585628032684326	87.5	100.0	0.04
1	83	83	4.574961185455322	56.25	100.0	0.04
1	84	84	4.141347885131836	68.75	100.0	0.04
1	85	85	3.232891082763672	87.5	100.0	0.04
1	86	86	4.097726345062256	62.5	100.0	0.04
1	87	87	3.566214084625244	75.0	100.0	0.04
1	88	88	3.990018129348755	68.75	100.0	0.04
1	89	89	3.431427240371704	81.25	100.0	0.04
1	90	90	3.8232414722442627	68.75	100.0	0.04
1	91	91	4.093303680419922	68.75	93.75	0.04
1	92	92	4.3028106689453125	62.5	87.5	0.04
1	93	93	4.6955246925354	37.5	100.0	0.04
1	94	94	3.623788595199585	75.0	100.0	0.04
1	95	95	4.056942939758301	56.25	100.0	0.04
1	96	96	3.5456433296203613	68.75	100.0	0.04
1	97	97	3.769672155380249	68.75	93.75	0.04
1	98	98	4.006993293762207	75.0	93.75	0.04
1	99	99	5.394405841827393	43.75	100.0	0.04
1	100	100	4.328982830047607	43.75	100.0	0.04
1	101	101	4.850062370300293	68.75	93.75	0.04
1	102	102	3.7969324588775635	75.0	100.0	0.04
1	103	103	4.274206638336182	62.5	100.0	0.04
1	104	104	3.8078815937042236	87.5	100.0	0.04
1	105	105	3.545923948287964	75.0	100.0	0.04
